timestamp,ir,red
3035,232936,176953
3142,233022,176954
3223,232811,176311
3342,231313,176616
3423,232435,176746
3542,232650,176721
3623,232677,176770
3742,232940,176795
3822,233009,176801
3941,233069,176766
4022,233131,176803
4141,232988,176332
4222,231412,176439
4341,232775,176692
4422,232983,176638
4541,232977,176670
4622,233092,176671
4741,233131,176645
4822,233133,176636
4941,233204,176673
5021,233245,176559
5141,232771,176559
5221,232973,176556
5340,233071,176544
5421,232994,176552
5540,233155,176577
5621,233143,176539
5740,233255,176594
5821,233320,176573
5940,232811,176404
6021,233006,176453
6140,233108,176393
6221,233026,176383
6340,233082,176428
6420,233215,176439
6539,233287,176426
6620,233304,176434
6739,232798,176216
6820,232892,176283
6939,233076,176318
7020,233068,176273
7139,233080,176281
7220,233192,176305
7339,233259,176301
7419,233210,176276
7539,233310,176311
7619,233083,176072
7738,232865,176144
7819,232985,176147
7938,233060,176113
8019,232990,176100
8138,233129,176129
8219,233169,176100
8338,233179,176115
8419,233221,176125
8538,233034,175908
8618,232652,175947
8737,232899,175988
8818,232936,175947
8937,232932,175990
9018,233109,176026
9137,233253,176037
9218,233305,176037
9337,233377,176078
9418,233248,175919
9537,233155,176017
9618,233283,176021
9737,233317,176018
9817,233362,176034
9936,233496,176068
10017,233528,176057
10136,233565,176036
10217,233135,175902
10336,233406,175989
10417,233475,175992
10536,233436,175981
10617,233489,175986
10736,233624,176035
10817,233654,176031
10936,233700,176021
11016,233367,175779
11135,233374,175929
11216,233522,175933
11335,233548,175918
11416,233585,175942
11535,233674,175932
11616,233701,175931
11735,233780,175952
11816,233832,175893
11935,233254,175841
12016,233627,175886
12135,233729,175883
12215,233703,175879
12334,233817,175913
12415,233882,175927
12534,233949,175946
12615,233869,175773
12734,233723,175846
12815,233839,175873
12934,233928,175874
13015,233931,175879
13134,234041,175928
13215,234090,175916
13334,234147,175909
13414,233817,175704
13533,233866,175832
13614,233962,175827
13733,233957,175794
13814,233985,175827
13933,234124,175832
14014,234161,175852
14133,234231,175869
14214,234284,175737
14333,233863,175768
14414,234060,175795
14533,234194,175812
14614,234149,175792
14733,234284,175846
14813,234329,175837
14932,234351,175835
15013,234389,175844
15132,233858,175710
15213,234100,175754
15332,234272,175786
15413,234248,175756
15532,234307,175793
15613,234416,175800
15732,234443,175824
15813,234483,175738
15932,234031,175677
16012,234222,175722
16131,234370,175738
16212,234328,175720
16331,234427,175754
16412,234479,175750
16531,234524,175757
16612,234525,175606
16731,233952,175608
16812,234203,175627
16931,234244,175572
17012,234110,175529
17131,234121,175470
17212,234123,175454
17331,234161,175478
17411,234262,175510
17530,234016,175460
17611,234255,175549
17730,234487,175600
17811,234534,175613
17930,234546,175586
18011,234532,175578
18130,234591,175591
18211,234342,175380
18330,234213,175506
18411,234413,175541
18530,234483,175532
18610,234531,175553
18729,234630,175557
18810,234638,175563
18929,234251,175358
19010,234195,175440
19129,234465,175473
19210,234544,175482
19329,234573,175494
19410,234644,175486
19529,234667,175489
19610,234681,175415
19729,234144,175373
19809,234411,175427
19928,234594,175447
20009,234594,175448
20128,234678,175449
20209,234679,175445
20328,234728,175442
20409,234354,175159
20528,234174,175297
20609,234317,175315
20728,234376,175298
20809,234373,175315
20928,234503,175330
21009,234514,175336
21128,234575,175340
21208,234129,175005
21327,233970,175190
21408,234177,175226
21527,234230,175218
21608,234293,175238
21727,234396,175240
21808,234436,175246
21927,234508,175223
22008,233979,175072
22127,234326,175202
22208,234450,175215
22327,234423,175194
22407,234470,175221
22526,234559,175217
22607,234592,175231
22726,234008,175002
22807,234160,175116
22926,234404,175153
23007,234402,175139
23126,234473,175154
23207,234552,175163
23326,234570,175164
23407,234629,175170
23525,233500,174887
23606,234113,175053
23725,234354,175069
23806,234338,175043
23925,234417,175067
