timestamp,ir,red
45025,244638,182173
45055,244587,182139
45074,244555,182137
45105,244532,182162
45124,244514,182159
45155,244552,182188
45174,244560,182209
45205,244585,182241
45224,244583,182234
45255,244593,182233
45274,244607,182239
45305,244657,182252
45324,244685,182266
45355,244727,182271
45374,244708,182277
45405,244699,182278
45424,244674,182272
45455,244719,182295
45474,244717,182280
45505,244709,182272
45524,244717,182274
45555,244728,182291
45574,244760,182305
45605,244795,182329
45624,244829,182355
45655,244832,182363
45674,244850,182374
45705,244872,182379
45724,244867,182375
45755,244845,182369
45774,244794,182338
45805,244760,182300
45824,244732,182289
45855,244647,182239
45874,244544,182247
45905,244214,182141
45924,243947,182107
45955,243649,182186
45974,243503,182233
46005,243372,182236
46024,243299,182225
46055,243205,182194
46074,243176,182185
46105,243169,182149
46124,243186,182136
46155,243180,182089
46174,243184,182095
46205,243156,182058
46224,243134,182039
46255,243114,182004
46274,243077,182012
46305,243010,181995
46324,242983,181987
46355,242928,181958
46374,242935,181971
46405,242966,181949
46424,242983,181952
46455,242972,181916
46474,242970,181916
46505,242924,181916
46524,242931,181888
46555,242884,181869
46574,242883,181853
46605,242817,181816
46624,242815,181794
46655,242796,181778
46674,242762,181773
46705,242739,181752
46724,242748,181740
46755,242697,181711
46774,242702,181685
46805,242667,181689
46824,242652,181654
46855,242580,181646
46874,242566,181653
46905,242520,181623
46924,242484,181625
46955,242455,181608
46974,242423,181618
47005,242375,181587
47024,242333,181568
47055,242270,181552
47075,242231,181557
47106,242159,181546
47125,242130,181537
47156,242105,181513
47175,242101,181508
47206,242021,181523
47225,241930,181542
47256,241843,181554
47275,241789,181547
47306,241813,181526
47325,241823,181526
47356,241857,181524
47375,241851,181541
47406,241908,181563
47425,241938,181572
47456,242003,181604
47475,242014,181624
47506,242067,181667
47525,242047,181682
47556,242031,181657
47575,242007,181640
47605,241955,181655
47625,241936,181645
47655,241877,181634
47675,241817,181580
47705,241730,181478
47725,241684,181429
47755,241611,181391
47775,241591,181362
47805,241532,181296
47825,241511,181269
47856,241478,181228
47875,241472,181186
47906,241405,181119
47925,241373,181090
47956,241409,181064
47975,241431,181038
48005,241432,181031
48025,241430,181039
48056,241424,181007
48075,241419,181002
48106,241389,180966
48125,241374,180974
48156,241359,180969
48175,241376,180945
48206,241405,180929
48225,241405,180921
48256,241422,180926
48275,241461,180938
48306,241515,180943
48325,241572,180952
48356,241652,180944
48375,241644,180912
48406,241509,180901
48425,241483,180887
48456,241504,180911
48475,241562,180942
48506,241576,180947
48525,241556,180949
48556,241540,180935
48575,241527,180960
48606,241566,180954
48625,241542,180950
48656,241507,180935
48675,241468,180931
48706,241488,180956
48725,241516,180979
48756,241523,180991
48775,241541,180988
48806,241506,181003
48825,241533,181026
48856,241611,181095
48875,241644,181105
48906,241737,181191
48925,241812,181240
48956,241994,181354
48975,242135,181436
49006,242369,181558
49025,242485,181624
49056,242596,181679
49075,242601,181681
49106,242604,181699
49125,242625,181725
49156,242644,181725
49175,242648,181717
49206,242631,181687
49225,242578,181669
49256,242551,181631
49275,242521,181626
49306,242494,181582
49325,242476,181597
49356,242477,181595
49375,242462,181571
49406,242451,181541
49425,242420,181536
49456,242445,181529
49475,242446,181509
49506,242438,181502
49525,242443,181506
49556,242397,181484
49575,242387,181492
49606,242380,181469
49625,242401,181481
49656,242392,181470
49675,242412,181468
49706,242420,181461
49725,242429,181477
49756,242406,181459
49775,242410,181453
49806,242398,181435
49826,242375,181425
49857,242374,181412
49876,242360,181409
49907,242338,181361
49926,242325,181377
49957,242310,181346
49976,242328,181349
50007,242305,181330
50026,242301,181341
50057,242275,181335
50076,242282,181320
50107,242308,181318
50126,242267,181307
50157,242280,181310
50176,242293,181293
50207,242275,181302
50226,242297,181275
50257,242286,181263
50276,242281,181267
50307,242275,181261
50326,242317,181274
50357,242350,181257
50376,242352,181277
50407,242363,181280
50426,242394,181256
50457,242403,181265
50476,242376,181261
50507,242344,181245
50526,242332,181245
50557,242342,181226
50576,242364,181245
50607,242332,181211
50626,242333,181234
50657,242352,181240
50676,242345,181221
50707,242300,181208
50726,242295,181237
50757,242262,181197
50776,242270,181217
50807,242290,181202
50826,242302,181198
50857,242274,181185
50876,242324,181217
50907,242307,181180
50926,242296,181190
50957,242305,181201
50976,242359,181215
51007,242393,181199
51026,242394,181209
51057,242402,181211
51076,242405,181196
51107,242414,181190
51126,242375,181148
51157,242328,181135
51176,242315,181124
51207,242324,181127
51226,242308,181135
51257,242302,181141
51276,242313,181140
51307,242341,181140
51326,242368,181157
51357,242406,181170
51376,242431,181172
51407,242440,181189
51426,242397,181171
51457,242406,181180
51476,242404,181187
51507,242393,181184
51526,242404,181166
51557,242411,181162
51576,242404,181168
51607,242434,181180
51626,242432,181172
51657,242373,181136
51676,242368,181142
51707,242390,181127
51726,242434,181154
51757,242478,181155
51776,242487,181148
51807,242482,181155
51826,242518,181145
51857,242487,181144
51876,242461,181132
51907,242477,181132
51926,242431,181123
51957,242434,181133
51976,242461,181144
52007,242481,181130
52026,242393,181110
52057,242445,181133
52076,242436,181113
52106,242445,181110
52126,242504,181155
52157,242596,181180
52176,242618,181163
52207,242580,181144
52226,242500,181126
52257,242436,181114
52276,242473,181112
52307,242605,181170
52326,242701,181206
52357,242631,181164
52376,242614,181153
52407,242591,181137
52426,242580,181136
52457,242556,181131
52476,242546,181098
52507,242546,181096
52526,242562,181115
52558,242603,181136
52577,242668,181151
52608,242767,181202
52627,242768,181183
52658,242623,181129
52677,242592,181100
52708,242586,181107
52727,242578,181094
52758,242555,181070
52777,242544,181108
52808,242723,181170
52827,242802,181171
52858,242853,181172
52877,242892,181196
52908,242899,181193
52927,242880,181156
52958,242752,181088
52977,242551,181019
53008,242378,180983
53027,242387,180991
53058,242566,181033
53077,242553,181014
53108,242537,181023
53127,242524,181003
53158,242456,181012
53177,242494,181027
53208,242570,181046
53227,242593,181046
53258,242454,181021
53277,242473,181002
53308,242492,181035
53327,242601,181087
53358,242637,181084
53377,242631,181108
53408,242693,181094
53427,242713,181135
53458,242730,181100
53477,242632,181069
53508,242603,181070
53527,242660,181107
53558,242746,181122
53577,242808,181144
53608,242797,181125
53627,242889,181150
53658,242962,181185
53677,242965,181177
53708,242833,181118
53727,242733,181086
53758,242706,181081
53777,242809,181099
53808,242857,181069
53827,242791,181041
53858,242682,181002
53877,242686,181007
53908,242774,181045
53927,242813,181058
53958,242736,180978
53977,242666,180969
54008,242600,180969
54027,242678,180987
54058,242743,181006
54077,242688,180973
54108,242612,180965
54127,242598,180948
54157,242537,180933
54177,242495,180906
54208,242455,180929
54227,242520,180931
54258,242632,180960
54277,242612,180958
54308,242559,180953
54327,242601,180956
54358,242677,181002
54377,242773,181040
54408,242851,181023
54427,242754,180963
54458,242637,180960
54477,242651,180944
54508,242578,180894
54527,242514,180895
54558,242464,180881
54577,242493,180869
54608,242484,180870
54627,242439,180799
54658,242296,180759
54677,242287,180776
54708,242309,180766
54727,242319,180775
54758,242371,180773
54777,242361,180774
54808,242396,180789
54827,242440,180771
54858,242454,180772
54877,242441,180780
54908,242419,180766
54927,242425,180776
54958,242449,180802
54977,242474,180767
55008,242421,180773
55027,242388,180743
